epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,116.69,1.31814,2.68532,1.41232,0.00418,0.85672,0.3251,0.15779,1.59287,2.92084,1.77118,0.00053979,0.00053979,0.00053979
2,236.964,1.43224,1.91928,1.49506,0.59857,0.18401,0.22722,0.09386,1.88847,2.84582,2.31566,0.000987007,0.000987007,0.000987007
3,344.859,1.54681,1.87354,1.59272,0.18461,0.23645,0.10717,0.03531,2.161,3.1353,3.02044,0.0013242,0.0013242,0.0013242
4,454.701,1.53004,1.72908,1.59439,0.39161,0.34765,0.30404,0.14505,1.93772,2.55114,2.25232,0.0011719,0.0011719,0.0011719
5,565.035,1.44344,1.49007,1.50517,0.49057,0.35555,0.34673,0.14356,1.98352,2.37601,1.99579,0.00100687,0.00100687,0.00100687
6,675.742,1.4038,1.35297,1.46936,0.62153,0.49558,0.52432,0.29463,1.60883,1.82884,1.66206,0.000841835,0.000841835,0.000841835
7,780.857,1.30129,1.18195,1.40057,0.66834,0.58447,0.64228,0.36479,1.49405,1.42343,1.50641,0.000676802,0.000676802,0.000676802
8,892.502,1.23185,1.08169,1.33441,0.65228,0.57988,0.62589,0.34575,1.55805,1.5025,1.54649,0.000511769,0.000511769,0.000511769
9,1002.39,1.17402,0.96599,1.29783,0.80315,0.68209,0.74639,0.4612,1.3773,1.15399,1.4256,0.000346736,0.000346736,0.000346736
10,1122.81,1.10252,0.87365,1.25057,0.84182,0.68728,0.76255,0.4947,1.28728,1.03144,1.37045,0.000181703,0.000181703,0.000181703
