epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2305.81,1.66615,2.13605,1.66229,0.38284,0.41975,0.26384,0.1144,2.44007,2.9741,2.3519,0.000554212,0.000554212,0.000554212
2,4408.12,1.64825,1.70339,1.62549,0.38346,0.35354,0.29056,0.14665,2.4323,2.72271,2.34589,0.001,0.001,0.001
3,6529.48,1.62115,1.61589,1.59907,0.25924,0.31425,0.17063,0.0733,2.47872,3.59102,2.55991,0.00133577,0.00133577,0.00133577
4,8623.75,1.52951,1.49536,1.54116,0.33321,0.53562,0.27455,0.12679,2.33717,2.58313,2.33282,0.0011719,0.0011719,0.0011719
5,11062.9,1.42905,1.3713,1.46629,0.35912,0.4927,0.2616,0.12752,2.24239,2.71673,2.2897,0.00100687,0.00100687,0.00100687
6,13827.8,1.35191,1.27477,1.41229,0.35418,0.46533,0.22086,0.09533,2.34294,2.8321,2.43479,0.000841835,0.000841835,0.000841835
7,18571.8,1.30046,1.20268,1.37162,0.52871,0.50786,0.33643,0.15788,2.23796,2.8246,2.32833,0.000676802,0.000676802,0.000676802
8,20886.3,1.23985,1.14292,1.33422,0.52688,0.49557,0.33683,0.15689,2.20896,2.64467,2.36426,0.000511769,0.000511769,0.000511769
9,23197.9,1.18999,1.09007,1.30194,0.53194,0.50786,0.3461,0.16923,2.21931,2.59028,2.31477,0.000346736,0.000346736,0.000346736
10,96643.9,1.13863,1.03098,1.26889,0.56342,0.5275,0.35783,0.15899,2.26909,2.56648,2.35527,0.000181703,0.000181703,0.000181703
